,Country,Continent,Region,DevName,Total
0,Afghanistan,Asia,Southern Asia,Developing regions,58639
1,Albania,Europe,Southern Europe,Developed regions,15699
2,Algeria,Africa,Northern Africa,Developing regions,69439
3,American Samoa,Oceania,Polynesia,Developing regions,6
4,Andorra,Europe,Southern Europe,Developed regions,15
5,Angola,Africa,Middle Africa,Developing regions,2113
6,Antigua and Barbuda,Latin America and the Caribbean,Caribbean,Developing regions,981
7,Argentina,Latin America and the Caribbean,South America,Developing regions,19596
8,Armenia,Asia,Western Asia,Developing regions,3310
9,Australia,Oceania,Australia and New Zealand,Developed regions,23829
10,Austria,Europe,Western Europe,Developed regions,4985
11,Azerbaijan,Asia,Western Asia,Developing regions,2649
12,Bahamas,Latin America and the Caribbean,Caribbean,Developing regions,808
13,Bahrain,Asia,Western Asia,Developing regions,475
14,Bangladesh,Asia,Southern Asia,Developing regions,65568
15,Barbados,Latin America and the Caribbean,Caribbean,Developing regions,6923
16,Belarus,Europe,Eastern Europe,Developed regions,7975
17,Belgium,Europe,Western Europe,Developed regions,10762
18,Belize,Latin America and the Caribbean,Central America,Developing regions,1083
19,Benin,Africa,Western Africa,Developing regions,2852
20,Bhutan,Asia,Southern Asia,Developing regions,5876
21,Bolivia (Plurinational State of),Latin America and the Caribbean,South America,Developing regions,3205
22,Bosnia and Herzegovina,Europe,Southern Europe,Developed regions,21855
23,Botswana,Africa,Southern Africa,Developing regions,396
24,Brazil,Latin America and the Caribbean,South America,Developing regions,29659
25,Brunei Darussalam,Asia,South-Eastern Asia,Developing regions,600
26,Bulgaria,Europe,Eastern Europe,Developed regions,23310
27,Burkina Faso,Africa,Western Africa,Developing regions,2043
28,Burundi,Africa,Eastern Africa,Developing regions,8110
29,Cabo Verde,Africa,Western Africa,Developing regions,201
30,Cambodia,Asia,South-Eastern Asia,Developing regions,6538
31,Cameroon,Africa,Middle Africa,Developing regions,16021
32,Canada,Northern America,Northern America,Developed regions,20
33,Central African Republic,Africa,Middle Africa,Developing regions,550
34,Chad,Africa,Middle Africa,Developing regions,1653
35,Chile,Latin America and the Caribbean,South America,Developing regions,21359
36,China,Asia,Eastern Asia,Developing regions,659962
37,"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Developing regions,9327
38,"China, Macao Special Administrative Region",Asia,Eastern Asia,Developing regions,284
39,Colombia,Latin America and the Caribbean,South America,Developing regions,72088
40,Comoros,Africa,Eastern Africa,Developing regions,194
41,Congo,Africa,Middle Africa,Developing regions,1686
42,Costa Rica,Latin America and the Caribbean,Central America,Developing regions,4489
43,Côte d'Ivoire,Africa,Western Africa,Developing regions,8291
44,Croatia,Europe,Southern Europe,Developed regions,8001
45,Cuba,Latin America and the Caribbean,Caribbean,Developing regions,20365
46,Cyprus,Asia,Western Asia,Developing regions,1126
47,Czech Republic,Europe,Eastern Europe,Developed regions,4192
48,Democratic People's Republic of Korea,Asia,Eastern Asia,Developing regions,388
49,Democratic Republic of the Congo,Africa,Middle Africa,Developing regions,25582
